,Date,Rate,Open,High,Low,Volume,Change %
713,2019-02-05,1422.3,1415.99,1422.3,1415.53,68.77M,0.55
714,2019-02-04,1414.45,1416.24,1418.52,1413.27,75.60M,-0.06
715,2019-02-03,1415.3,1413.93,1416.51,1411.27,27.04M,0.15
716,2019-01-31,1413.16,1412.42,1416.04,1408.76,84.76M,0.7
717,2019-01-30,1403.34,1398.14,1406.25,1396.51,46.39M,0.59
718,2019-01-29,1395.07,1391.98,1399.0,1391.4,53.03M,0.29
719,2019-01-28,1391.02,1386.96,1397.05,1385.26,84.19M,0.18
720,2019-01-27,1388.55,1392.75,1394.64,1388.55,21.53M,0.49
721,2019-01-24,1381.8,1379.92,1383.82,1376.41,78.78M,0.44
722,2019-01-23,1375.7,1367.45,1376.94,1364.2,42.11M,0.44
723,2019-01-22,1369.73,1371.04,1375.56,1368.68,38.19M,-0.3
724,2019-01-21,1373.92,1380.34,1380.66,1373.38,40.09M,-0.57
725,2019-01-20,1381.77,1382.94,1389.6,1381.77,39.15M,0.97
726,2019-01-17,1368.52,1369.21,1372.68,1364.59,63.79M,-0.01
727,2019-01-16,1368.66,1360.87,1369.24,1360.02,48.12M,0.82
728,2019-01-15,1357.49,1356.14,1358.61,1352.21,105.23M,0.7
729,2019-01-14,1348.04,1347.96,1350.2,1344.39,68.77M,-0.47
730,2019-01-13,1354.39,1369.38,1370.39,1354.39,24.92M,-0.43
731,2019-01-10,1360.3,1368.26,1368.26,1355.69,68.71M,-0.49
732,2019-01-09,1367.06,1368.98,1374.16,1366.37,68.65M,0.21
733,2019-01-08,1364.19,1358.41,1371.62,1357.37,68.79M,0.81
734,2019-01-07,1353.21,1348.6,1355.55,1343.04,53.15M,0.47
735,2019-01-06,1346.94,1346.01,1351.08,1343.89,26.38M,2.03
736,2019-01-03,1320.16,1325.91,1330.29,1320.16,77.70M,-1.05
737,2019-01-02,1334.2,1336.06,1336.83,1325.38,64.81M,-1.09
738,2019-01-01,1348.9,1333.96,1349.9,1333.96,36.98M,1.18
739,2018-12-31,1333.18,1336.58,1347.74,1333.01,61.10M,0.14
740,2018-12-30,1331.34,1328.42,1332.26,1322.73,50.22M,1.31
